ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,23,82,0,0,5,150,0,0
2,23,82,0,0,5,150,0,0
3,23,82,0,0,5,150,0,0
4,23,82,0,0,5,150,0,0
5,23,82,0,0,5,150,0,0
6,23,82,0,0,5,150,0,0
7,23,82,0,0,5,150,0,0
8,23,82,0,0,5,150,0,0
9,23,82,0,0,5,150,0,0
10,23,82,0,0,5,150,0,0
11,23,82,0,0,5,159,0,0
12,23,82,0,0,5,159,0,0
13,23,82,0,0,5,159,0,0
14,23,82,0,0,5,159,0,0
15,23,82,0,0,5,159,0,0
16,23,82,0,0,5,159,0,0
17,23,82,0,0,5,159,0,0
18,23,82,0,0,5,159,0,0
19,23,82,0,0,5,159,0,0
20,23,82,0,0,5,159,0,0
21,23,82,0,0,5,159,0,0
22,23,82,0,0,5,159,0,0
23,23,82,0,0,5,159,0,0
24,23,82,0,0,5,159,0,0
25,23,82,0,0,5,159,0,0
26,23,82,0,0,5,159,0,0
27,23,82,0,0,5,159,0,0
28,23,82,0,0,5,159,0,0
29,23,82,0,0,5,159,0,0
30,23,82,0,0,5,159,0,0
